Date,Sleep,Rating,Miles,Location,Focus
12/9/21,7,6,2.75,Ohio,Stats
12/10/21,8,5,1,Ohio,Music
12/11/21,5,8,2.75,Ohio,Music
12/12/21,4,6,3,Ohio,Music
12/13/21,9,5,3.25,Ohio,Psychology
12/14/21,8,5,1,Ohio,Music
12/15/21,8,9,2.5,Colorado,Stats
12/16/21,7,6,2.5,Colorado,Psychology
12/17/21,6,5,3,Colorado,Psychology
12/18/21,,,1.5,Colorado,Stats
12/19/21,6,4,3.75,Colorado,Psychology
12/20/21,6,5,2.75,Colorado,Stats
12/21/21,8,2,4,Colorado,Music
12/22/21,6,4,2.75,Colorado,Psychology
12/23/21,10,5,2.75,Colorado,Music
12/24/21,8,5,2.25,Colorado,Stats
12/25/21,9,6,3.5,Colorado,Music
12/26/21,9,4,1.75,Colorado,Tennis/Hiking
12/27/21,8,5,1.5,Colorado,Psychology
12/28/21,7,5,2.75,Colorado,Stats
12/29/21,9,6,2.5,Colorado,Music
12/30/21,8,3,4.25,Colorado,Music
12/31/21,9,5,3,Colorado,Music
1/1/22,8,5,3.25,Colorado,Music
1/2/22,5,5,3.25,Colorado,Psychology
1/3/22,7,4,2.75,Colorado,Psychology
1/4/22,7,5,1.75,Ohio,Music
1/5/22,6,5,3.75,Ohio,Community Work
1/6/22,5,5,2.25,Ohio,Psychology
1/7/22,5,3,3,Ohio,Music
1/8/22,7,5,3.25,Ohio,Projects
1/9/22,10,6,2.75,Ohio,Friends/Family
1/10/22,8,5,4,Ohio,Psychology
1/11/22,6,5,2.5,Ohio,Tennis/Hiking
1/12/22,8,5,2,Ohio,Music
1/13/22,7,5,3,Ohio,Stats
1/14/22,6,4,1.75,Ohio,Chess
1/15/22,8,5,2,Ohio,Music
1/16/22,6,7,3.25,Ohio,Friends/Family
1/17/22,8,5,2.75,Ohio,Psychology
1/18/22,9,5,3.25,Ohio,Psychology
1/19/22,8,3,2,Ohio,Psychology
1/20/22,10,5,3,Ohio,Music
1/21/22,6,5,2.75,Ohio,Music
1/22/22,5,5,3.25,Ohio,Music
1/23/22,10,3,4.25,Ohio,Music
1/24/22,7,4,3.75,Ohio,Psychology
1/25/22,8,5,3.25,Ohio,Stats
1/26/22,8,5,2,Ohio,Music
1/27/22,10,5,2.75,Ohio,Music
1/28/22,8,5,2,Ohio,Psychology
1/29/22,8,5,3.25,Ohio,Psychology
1/30/22,7,6,2.25,Ohio,Music
1/31/22,9,5,2.75,Ohio,Psychology
2/1/22,10,5,2.5,Ohio,Music
2/2/22,9,5,3.25,Ohio,Psychology
2/3/22,9,5,5,Ohio,Music
2/4/22,9,6,2,Ohio,Psychology
2/5/22,8,5,4,Ohio,Psychology
2/6/22,9,5,3,Ohio,Psychology
2/7/22,10,5,3,Ohio,Chess
2/8/22,8,3,3.25,Ohio,Stats
2/9/22,9,6,2.75,Ohio,Stats
2/10/22,9,5,1.75,Ohio,Stats
2/11/22,10,5,3.75,Ohio,Stats
2/12/22,8,4,3.25,Ohio,Tennis/Hiking
2/13/22,8,5,1,Ohio,Stats
2/14/22,8,5,2.75,Ohio,Friends/Family
2/15/22,8,5,1.25,Ohio,Music
2/16/22,8,3,2.75,Ohio,Music
2/17/22,6,7,3.25,Ohio,Friends/Family
2/18/22,8,6,3,Ohio,Tennis/Hiking
2/19/22,9,5,2.5,Ohio,Friends/Family
2/20/22,8,6,6.75,Ohio,Psychology
2/21/22,8,4,3,Ohio,Tennis/Hiking
2/22/22,8,5,3.25,Ohio,Tennis/Hiking
2/23/22,9,5,3.5,Ohio,Music
2/24/22,7,5,3.25,Ohio,Music
2/25/22,10,5,3.75,Ohio,Music
2/26/22,,,2.75,Ohio,Music
2/27/22,8,6,4.5,Ohio,Projects
2/28/22,7,5,2.5,Ohio,Stats
3/1/22,6,5,3,Ohio,Psychology
3/2/22,7,6,3,Ohio,Friends/Family
3/3/22,6,5,4,Ohio,Music
3/4/22,7,5,3.25,Ohio,Stats
3/5/22,10,5,14,Ohio,Psychology
3/6/22,8,5,9.25,Ohio,Stats
3/7/22,8,5,2.75,Ohio,Tennis/Hiking
3/8/22,7,4,3.5,Ohio,Stats
3/9/22,6,4,3,Ohio,Psychology
3/10/22,9,5,3,Ohio,Stats
3/11/22,7,5,3.75,Ohio,Friends/Family
3/12/22,9,5,7.5,Ohio,Friends/Family
3/13/22,8,5,2.75,Ohio,Projects
3/14/22,7,6,3.25,Ohio,Stats
3/15/22,7,4,3.75,Ohio,Stats
3/16/22,8,5,5,Ohio,Psychology
3/17/22,6,5,3.25,Ohio,Music
3/18/22,6,5,2.75,Ohio,Friends/Family
3/19/22,10,5,2.5,Ohio,Stats
3/20/22,7,5,4.75,Ohio,Stats
3/21/22,7,5,2.75,Ohio,Stats
3/22/22,9,5,3,Ohio,Stats
3/23/22,7,5,3,Ohio,Stats
3/24/22,7,5,5,Ohio,Projects
3/25/22,7,5,2.75,Ohio,Stats
3/26/22,8,6,2,Ohio,Music
3/27/22,9,5,4.75,Ohio,Stats
3/28/22,6,3,3.75,Ohio,Spanish
3/29/22,7,5,3.25,Ohio,Stats
3/30/22,9,5,2.75,Ohio,Psychology
3/31/22,7,5,3,Ohio,Stats
4/1/22,10,6,3.25,Ohio,Stats
4/2/22,9,5,5.25,Ohio,Music
4/3/22,9,6,2.75,Ohio,Music
4/4/22,9,6,8,Ohio,Music
4/5/22,9,5,4.75,Ohio,Psychology
4/6/22,9,5,3,Ohio,Stats
